# Supplements site/legislators.csv, which carries only CURRENT members.
#
# Two kinds of row:
#   1. A person the roster does not contain - typically a former member whose
#      filings still fall inside the rolling 120-day window. Fill in
#      party/state/chamber.
#   2. An ALIAS: a name spelling used in filings that differs from the roster's
#      formal name. Leave party/state/chamber empty and set same_as to the
#      roster's exact full name. This links the spelling without seating a
#      second copy of the person in the roster.
#
# Never guess a party. An unmatched member renders "Party unknown", which is
# correct; a wrong party is not.
name,party,state,chamber,same_as
Marjorie Taylor Greene,R,GA,House,
Earl Blumenauer,D,OR,House,
Kathy Manning,D,NC,House,
Markwayne Mullin,R,OK,Senate,
Chris Coons,,,,Christopher A. Coons
Greg Steube,,,,W. Gregory Steube
Rob Bresnahan,,,,"Robert P. Bresnahan, Jr."
